CXCL10	FGF7	0.0125
CXCL10	CXCR2	0.0125
CXCL10	IGFBP5	0.0125
CXCL10	SMAD2	0.0125
CXCL10	MUC1	0.025
CXCL10	SMAD3	0.0125
CXCL10	SPARC	0.0125
CXCL10	TGFBR1	0.025
FGF7	SPP1	0.05
FGF7	FHIT	0.1
FGF7	SMAD2	0.025
FGF7	MUC1	0.15
FGF7	SMAD3	0.075
FGF7	SPARC	0.13
FGF7	TGFBR1	0.025
FGF7	VCAM1	0.0125
FGF7	POSTN	0.05
CXCR2	IL1RN	0.05
CXCR2	IGFBP5	0.0625
CXCR2	SPP1	0.1125
CXCR2	SFTPB	0.0625
CXCR2	IL1A	0.0125
CXCR2	FHIT	0.05
CXCR2	MUC1	0.0125
CXCR2	SMAD3	0.0125
CXCR2	SPARC	0.0125
CXCR2	VCAM1	0.1
CXCR2	TOLLIP	0.05
CXCR2	NLRC4	0.0125
CXCR2	POSTN	0.1
CXCR2	ELMOD2	0.0125
IL1RN	SPP1	0.05
IL1RN	SMAD2	0.0125
IL1RN	VCAM1	0.05
IL1RN	POSTN	0.05
IGFBP5	IL1R1	0.0125
IGFBP5	SPP1	0.05
IGFBP5	SFTPB	0.0375
IGFBP5	SMAD2	0.0625
IGFBP5	MUC1	0.075
IGFBP5	SMAD3	0.0625
IGFBP5	SPARC	0.175
IGFBP5	TGFBR1	0.1375
IGFBP5	VCAM1	0.0625
IGFBP5	TNF	0.05
IGFBP5	TOLLIP	0.075
IGFBP5	POSTN	0.05
IGFBP5	NOX4	0.0125
CCL5	SPP1	0.0125
CCL5	SFTPB	0.025
CCL5	CCR4	0.0125
CCL5	SMAD2	0.025
CCL5	MUC1	0.05
CCL5	SMAD3	0.0125
CCL5	SPARC	0.12
CCL5	TGFBR1	0.075
CCL5	CD36	0.05
CCL5	VCAM1	0.0125
CCL5	TNF	0.0125
CCL5	TOLLIP	0.0125
CCL5	CXCL1	0.12
IL1R1	MUC1	0.0125
IL1R1	SPARC	0.0125
SPP1	VCAM1	0.075
BMP6	IL1A	0.05
BMP6	FHIT	0.05
BMP6	CCR4	0.05
BMP6	SMAD2	0.1
BMP6	MUC1	0.0625
BMP6	SPARC	0.15
BMP6	TGFBR1	0.05
BMP6	CD36	0.1
BMP6	CCL18	0.05
BMP6	CDH1	0.1
BMP6	VCAM1	0.1
BMP6	TNF	0.1
BMP6	TOLLIP	0.05
BMP6	POSTN	0.1
BMP6	ELMOD2	0.1
BMP6	CXCL1	0.0125
SFTPB	VCAM1	0.025
SFTPB	TNF	0.05
IL1A	SMAD2	0.0125
IL1A	MUC1	0.0125
IL1A	SMAD3	0.0125
IL1A	TGFBR1	0.0375
IL1A	VCAM1	0.05
IL1A	NLRC4	0.0625
FHIT	MUC1	0.05
FHIT	SMAD3	0.0625
FHIT	VCAM1	0.05
FHIT	TNF	0.0125
FHIT	POSTN	0.1
CCR4	SMAD2	0.0375
CCR4	MUC1	0.025
CCR4	SMAD3	0.0125
CCR4	CXCR1	0.0125
CCR4	SPARC	0.05
CCR4	CCR7	0.0125
